1,249.99,TRUE,FALSE,251,0.0825,0.000,270.614,TRUE,10-11-23,TFFT
2,750.00,TRUE,FALSE,251,0.0825,0.050,771.281,TRUE,10-13-14-23,-
3,1199.99,TRUE,FALSE,251,0.0825,0.075,1201.565,TRUE,10-13-16-17-23,-
4,1750.00,TRUE,FALSE,251,0.0825,0.100,1704.938,TRUE,10-13-16-19-20-23,-
5,1750.01,TRUE,FALSE,251,0.0825,0.125,1657.588,TRUE,10-13-16-19-22-25,-
6,0.00,TRUE,FALSE,251,0.0825,0.000,0.000,TRUE,-,-
7,10000.00,TRUE,FALSE,251,0.0825,0.125,9471.875,TRUE,-,-
8,250.00,TRUE,FALSE,251,0.0825,0.050,257.094,TRUE,-,-
9,750.01,TRUE,FALSE,251,0.0825,0.075,750.994,TRUE,-,-
10,1200.00,TRUE,FALSE,251,0.0825,0.100,1169.100,TRUE,-,-
11,249.99,TRUE,FALSE,0,0.0825,0.000,270.614,TRUE,-,-
12,249.99,TRUE,FALSE,999,0.0825,0.000,270.614,TRUE,-,-
13,2500.01,FALSE,FALSE,251,0.0825,0.125,2367.978,TRUE,-,FFTT
14,2500.00,FALSE,FALSE,251,0.0825,0.125,2367.969,FALSE,-,FFFT
15,2500.01,FALSE,FALSE,250,0.0825,0.125,2367.978,FALSE,-,FFTF
16,2500.01,TRUE,FALSE,250,0.0825,0.125,2367.978,TRUE,-,TFTF
17,2500.00,FALSE,TRUE,251,0.0825,0.125,2367.969,TRUE,-,FTFT
18,2500.01,FALSE,TRUE,250,0.0825,0.125,2367.978,TRUE,-,FTTF
