1,500,TRUE,TRUE,FALSE,0.075,500.66,7-8-17,TTF
2,375.01,TRUE,TRUE,FALSE,0.05,385.65,7-10-11-17,TTF
3,250,TRUE,TRUE,FALSE,0.025,263.86,7-10-13-14-17,TTF
4,249.99,TRUE,TRUE,FALSE,0.0125,267.23,7-10-13-16-17,TTF
5,0,TRUE,TRUE,FALSE,0.0125,0.00,-,TTF
6,10000,TRUE,TRUE,FALSE,0.075,10013.13,-,TTF
7,375,TRUE,TRUE,FALSE,0.025,395.79,-,TTF
8,499.99,TRUE,TRUE,FALSE,0.05,514.18,-,TTF
9,500,TRUE,FALSE,FALSE,0.075,541.25,-,TFF
10,500,TRUE,FALSE,TRUE,0.075,500.66,-,TFT
11,500,FALSE,TRUE,FALSE,0.075,541.25,-,FTF
12,500,FALSE,FALSE,TRUE,0.075,541.25,-,FFT
